"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Echinodermata.Ophiuroidea",151,"NC1_CR1_6200, NC1_CR8_7000, NC1_MA1_6100, NC1_OM1_6300, NC1_OM2_6000, NC1_OM3_6900, NC2_CR1_3200, NC2_CR2_3500, NC2_CR4_4100, NC2_MA5_5400, NC2_MA8_4500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM4_4000, NC2_OM8_4300, NC3_CR10_5400, NC3_MA3_6100, NC3_MA6_4200, NC3_OM10_5200, NC3_OM3_6700, NC3_OM4_5650, NC3_OM5_5400, NC4_CR10_5000, NC4_CR11_3900, NC4_CR1_5200, NC4_CR3_4400, NC4_CR5_6900, NC4_CR6_5000, NC4_CR7_5600, NC4_MA3_4550, NC4_MA5_6000, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM11_4500, NC4_OM5_6900, NC4_OM8_5500, NC4_OM9_5700","3100","7022",38
"Echinodermata.Ophiuroidea.sp1",11,"NC2_CR7_5100, NC2_CR8_4400, NC2_MA2_3600, NC4_CR5_6900","3627","6911",4
"Elpidiidae",72,"NC1_CR1_6200, NC1_CR4_7100, NC1_CR5_7400, NC1_CR7_8000, NC1_CR8_7000, NC1_MA1_6100, NC1_MA4_7000, NC1_MA5_7300, NC1_MA6_7800, NC1_OM3_6900, NC2_CR5_5500, NC2_CR6_5800, NC2_MA6_5700, NC2_OM5_5600, NC3_CR3_5500, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC4_CR10_5000, NC4_CR1_5200, NC4_CR7_5600, NC4_MA5_6000, NC4_MA7_5600, NC4_OM10_5300, NC4_OM1_5200, NC4_OM5_6900, NC4_OM7_5500","4980","7983",27
"Elpidiidae.Elpidia",7,"NC1_CR3_6700, NC3_MA3_6100, NC4_MA5_6000","5974","6728",3
"Elpidiidae.Elpidia.sp2",4,"NC1_CR3_6700, NC1_MA3_6600","6630","6728",2
"Elpidiidae.Elpidia.sp3",4,"NC1_CR7_8000, NC1_CR8_7000, NC1_OM8_7900","7022","7983",3
"Elpidiidae.Peniagone",17,"NC1_MA4_7000, NC1_OM2_6000, NC1_OM4_7200, NC1_OM5_7500, NC1_OM6_7600, NC3_OM1_5600, NC4_CR4_5100, NC4_OM10_5300, NC4_OM1_5200, NC4_OM7_5500","5151","7621",10
"Elpidiidae.Peniagone.leander",5,"NC1_CR1_6200, NC4_CR10_5000, NC4_MA4_5900, NC4_MA5_6000, NC4_OM7_5500","4980","6223",5
"Elpidiidae.Peniagone.sp1",7,"NC1_CR6_7700, NC1_CR8_7000, NC4_OM5_6900","6592","7704",3
"Elpidiidae.sp1",1,"NC4_OM1_5200","5194","5194",1
"Epizoanthidae.Epizoanthus.sp1",7,"NC2_CR2_3500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900","3100","3885",4
"Flabelligeridae",49,"NC1_CR2_6500, NC1_MA1_6100, NC1_MA3_6600, NC1_MA4_7000, NC2_CR6_5800, NC2_CR7_5100, NC2_MA6_5700, NC2_MA8_4500, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC3_CR10_5400, NC3_CR1_4400, NC3_MA10_5200, NC3_MA5_6000, NC3_MA6_4200, NC3_OM10_5200, NC3_OM6_4600, NC4_CR7_5600, NC4_MA11_5700, NC4_MA4_5900, NC4_MA5_6000, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM5_6900, NC4_OM6_5500, NC4_OM8_5500","3885","7200",29
"Fritillariidae",14,"NC3_CR3_5500, NC3_OM5_5400, NC3_OM6_4600, NC4_CR11_3900, NC4_CR6_5000, NC4_CR7_5600, NC4_CR9_5650, NC4_MA11_5700, NC4_OM10_5300, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500","3892","5790",12
"Histocidaridae",1,"NC2_CR3_3800","3791","3791",1
"Hyocrinidae.Hyocrinus.sp4",1,"NC4_OM4_5400","5383","5383",1
"Ischnomesidae",20,"NC1_CR1_6200, NC1_CR5_7400, NC1_CR6_7700, NC1_MA3_6600, NC1_MA4_7000, NC1_MA6_7800, NC1_OM1_6300, NC3_CR2_8000","6223","7951",8
"Ischnomesidae.sp1",2,"NC1_OM6_7600, NC1_OM8_7900","7621","7937",2
"Liparidae.Pseudoliparis.sp1",1828,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR3_6700, NC1_CR4_7100, NC1_CR5_7400, NC1_CR6_7700, NC1_CR8_7000, NC1_MA3_6600, NC1_MA4_7000, NC1_MA5_7300, NC1_MA6_7800, NC1_OM1_6300, NC1_OM3_6900, NC1_OM4_7200, NC1_OM5_7500, NC1_OM6_7600, NC3_MA2_7400, NC3_MA5_6000, NC3_OM2_8000, NC3_OM3_6700, NC4_CR5_6900, NC4_OM5_6900","6090","7925",22
"Macrouridae",2,"NC2_OM2_3400","3387","3387",1
"Macrouridae.Coryphaenoides.rudis",2,"NC3_OM8_2700","2771","2771",1
